# Weather station Columbus / Port Columbus (airport), USA, METAR=KCMH,selection from 01.01.2021 till 01.05.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=KCMH&lang=en
#
"Local time in Columbus / Port Columbus (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"30.04.2021 23:51";"8.0";"743.4";"766.1";"57";"Wind blowing from the north-west";"4";"";"";"";"No clouds";"16.0";"0.0";
"30.04.2021 22:51";"9.0";"743.0";"765.6";"58";"Wind blowing from the north-west";"5";"";"";"";"No clouds";"16.0";"1.0";
"30.04.2021 21:51";"9.0";"743.0";"765.6";"50";"Wind blowing from the north-west";"4";"";"";"";"No clouds";"16.0";"-1.0";
"30.04.2021 20:51";"11.0";"742.5";"765.0";"47";"Wind blowing from the north-west";"4";"";"";"";"No clouds";"16.0";"0.0";
"30.04.2021 19:51";"12.0";"741.9";"764.3";"44";"Wind blowing from the north-west";"9";"10";"";"";"Few clouds (10-30%) 1800 m";"16.0";"0.0";
"30.04.2021 18:51";"13.0";"741.2";"763.5";"41";"Wind blowing from the north-northwest";"6";"14";"";"";"Few clouds (10-30%) 1800 m";"16.0";"0.0";
"30.04.2021 17:51";"15.0";"740.9";"763.0";"42";"Wind blowing from the west-northwest";"10";"13";"";"";"Scattered clouds (40-50%) 1650 m";"16.0";"2.0";
"30.04.2021 16:51";"16.0";"740.5";"762.5";"45";"Wind blowing from the north-west";"12";"15";"";"";"Scattered clouds (40-50%) 1650 m, scattered clouds (40-50%) 2550 m";"16.0";"4.0";
"30.04.2021 15:51";"16.0";"739.7";"761.7";"48";"Wind blowing from the north-northwest";"9";"14";"";"";"Scattered clouds (40-50%) 1650 m";"16.0";"5.0";
"30.04.2021 14:51";"15.0";"739.4";"761.5";"55";"Wind blowing from the north-west";"8";"16";"";"";"Broken clouds (60-90%) 1950 m, broken clouds (60-90%) 2400 m, broken clouds (60-90%) 2700 m";"16.0";"6.0";
"30.04.2021 13:51";"14.0";"739.1";"761.2";"72";"Wind blowing from the north-northwest";"7";"11";"";"";"Few clouds (10-30%) 720 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 1800 m";"16.0";"9.0";
"30.04.2021 13:15";"13.0";"738.8";"761.0";"82";"Wind blowing from the north-northwest";"7";"";"";"";"Few clouds (10-30%) 1080 m, broken clouds (60-90%) 1470 m, broken clouds (60-90%) 1800 m";"16.0";"10.0";
"30.04.2021 13:06";"12.0";"738.7";"761.0";"82";"Wind blowing from the north-west";"6";"13";"Thunderstorm, rain";"";"Few clouds (10-30%) 990 m, broken clouds (60-90%) 1800 m, cumulonimbus clouds , overcast (100%) 2700 m";"9.6";"9.0";
"30.04.2021 12:51";"13.0";"738.5";"760.7";"72";"Wind blowing from the north";"7";"";"Light thunderstorm, rain";"";"Scattered clouds (40-50%) 990 m, broken clouds (60-90%) 1650 m, cumulonimbus clouds , overcast (100%) 2700 m";"16.0";"8.0";
"30.04.2021 11:51";"17.0";"739.1";"761.0";"52";"Wind blowing from the west";"5";"";"";"";"Scattered clouds (40-50%) 1320 m, broken clouds (60-90%) 1650 m, overcast (100%) 2250 m";"16.0";"7.0";
"30.04.2021 10:51";"14.0";"739.1";"761.2";"55";"Wind blowing from the west-northwest";"5";"";"";"";"Scattered clouds (40-50%) 1800 m, broken clouds (60-90%) 2400 m";"16.0";"5.0";
"30.04.2021 09:51";"15.0";"739.4";"761.5";"48";"Wind blowing from the west";"5";"";"";"";"No clouds";"16.0";"4.0";
"30.04.2021 08:51";"13.0";"739.3";"761.5";"55";"Wind blowing from the west";"6";"";"";"";"No clouds";"16.0";"4.0";
"30.04.2021 07:51";"12.0";"738.7";"761.0";"67";"Wind blowing from the west-northwest";"6";"";"";"";"No clouds";"16.0";"6.0";
"30.04.2021 06:51";"10.0";"738.3";"760.7";"76";"Wind blowing from the west-northwest";"6";"";"";"";"Few clouds (10-30%) 4500 m";"16.0";"6.0";
"30.04.2021 05:51";"10.0";"737.8";"760.2";"76";"Wind blowing from the north-west";"5";"";"";"";"Few clouds (10-30%) 750 m";"16.0";"6.0";
"30.04.2021 04:51";"9.0";"737.5";"760.0";"94";"Wind blowing from the west-northwest";"4";"";"";"";"No clouds";"16.0";"8.0";
"30.04.2021 03:51";"11.0";"737.2";"759.5";"82";"Wind blowing from the west-northwest";"5";"";"";"";"No clouds";"16.0";"8.0";
"30.04.2021 02:51";"10.0";"736.8";"759.2";"94";"Wind blowing from the west";"3";"";"";"";"No clouds";"12.8";"9.0";
"30.04.2021 01:51";"11.0";"736.9";"759.2";"88";"Wind blowing from the west";"5";"";"";"";"Scattered clouds (40-50%) 3600 m";"16.0";"9.0";
"30.04.2021 00:51";"11.0";"736.9";"759.2";"88";"Wind blowing from the west";"5";"";"";"";"No clouds";"16.0";"9.0";
"29.04.2021 23:51";"11.0";"736.7";"759.0";"88";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 750 m";"16.0";"9.0";
"29.04.2021 22:51";"12.0";"736.5";"758.7";"82";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 720 m";"16.0";"9.0";
"29.04.2021 22:27";"12.0";"736.5";"758.7";"82";"Wind blowing from the west-northwest";"6";"";"";"";"Scattered clouds (40-50%) 780 m";"16.0";"9.0";
"29.04.2021 22:16";"12.0";"736.5";"758.7";"88";"Wind blowing from the west-northwest";"8";"";"";"";"Broken clouds (60-90%) 690 m";"16.0";"10.0";
"29.04.2021 21:51";"13.0";"736.3";"758.4";"88";"Wind blowing from the west-northwest";"5";"";"";"";"Few clouds (10-30%) 630 m, broken clouds (60-90%) 930 m";"16.0";"11.0";
"29.04.2021 21:27";"13.0";"736.6";"758.7";"88";"Wind blowing from the north-west";"5";"";"";"";"Few clouds (10-30%) 540 m, broken clouds (60-90%) 960 m";"16.0";"11.0";
"29.04.2021 20:51";"13.0";"736.1";"758.2";"94";"Wind blowing from the north-west";"6";"";"";"";"Broken clouds (60-90%) 600 m";"16.0";"12.0";
"29.04.2021 20:22";"14.0";"735.7";"757.7";"88";"Wind blowing from the west-northwest";"7";"";"";"";"Few clouds (10-30%) 360 m, overcast (100%) 630 m";"16.0";"12.0";
"29.04.2021 19:51";"14.0";"735.2";"757.2";"94";"Wind blowing from the north-west";"4";"";"";"";"Broken clouds (60-90%) 390 m, overcast (100%) 960 m";"16.0";"13.0";
"29.04.2021 19:45";"14.0";"735.2";"757.2";"94";"Wind blowing from the north-west";"4";"";"";"";"Broken clouds (60-90%) 390 m, overcast (100%) 960 m";"16.0";"13.0";
"29.04.2021 19:28";"14.0";"734.9";"756.9";"88";"Wind blowing from the north-west";"4";"";"";"";"Scattered clouds (40-50%) 390 m, overcast (100%) 960 m";"16.0";"12.0";
"29.04.2021 18:51";"14.0";"734.7";"756.7";"88";"Wind blowing from the north-west";"7";"";"";"";"Scattered clouds (40-50%) 270 m, overcast (100%) 420 m";"16.0";"12.0";
"29.04.2021 18:39";"14.0";"734.4";"756.4";"94";"Wind blowing from the north-west";"5";"";"";"";"Broken clouds (60-90%) 240 m, broken clouds (60-90%) 540 m, overcast (100%) 3900 m";"16.0";"13.0";
"29.04.2021 18:06";"14.0";"733.1";"755.1";"94";"Wind blowing from the north";"3";"";"";"";"Few clouds (10-30%) 270 m, few clouds (10-30%) 600 m, broken clouds (60-90%) 1650 m, overcast (100%) 4200 m";"16.0";"13.0";
"29.04.2021 17:51";"14.0";"733.4";"755.4";"94";"Wind blowing from the north-northwest";"4";"";"";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 570 m, overcast (100%) 1650 m";"16.0";"13.0";
"29.04.2021 16:51";"15.0";"733.5";"755.4";"94";"Wind blowing from the north-northwest";"6";"";"Light rain, mist";"";"Broken clouds (60-90%) 180 m, overcast (100%) 630 m";"6.4";"14.0";
"29.04.2021 16:33";"16.0";"733.1";"754.9";"94";"Wind blowing from the north-west";"8";"10";"Light rain, mist";"";"Overcast (100%) 240 m";"9.6";"15.0";
"29.04.2021 15:51";"17.0";"732.7";"754.4";"88";"Wind blowing from the north-northwest";"7";"9";"Light rain";"";"Few clouds (10-30%) 210 m, broken clouds (60-90%) 420 m, overcast (100%) 1500 m";"16.0";"15.0";
"29.04.2021 15:42";"17.0";"732.4";"754.1";"94";"Wind blowing from the north-west";"5";"";"Light rain";"";"Few clouds (10-30%) 210 m, broken clouds (60-90%) 420 m, overcast (100%) 1500 m";"16.0";"16.0";
"29.04.2021 14:51";"17.0";"732.2";"753.9";"94";"Wind blowing from the north-west";"5";"";"Light rain, mist";"";"Broken clouds (60-90%) 270 m, broken clouds (60-90%) 540 m, overcast (100%) 720 m";"8.0";"16.0";
"29.04.2021 14:39";"17.0";"732.2";"753.9";"94";"Wind blowing from the north-west";"5";"";"Rain, mist";"";"Broken clouds (60-90%) 270 m, broken clouds (60-90%) 540 m, overcast (100%) 720 m";"8.0";"16.0";
"29.04.2021 14:28";"17.0";"732.2";"753.9";"94";"Wind blowing from the north-northwest";"4";"";"Light rain, mist";"";"Scattered clouds (40-50%) 210 m, broken clouds (60-90%) 360 m, overcast (100%) 720 m";"8.0";"16.0";
"29.04.2021 14:24";"17.0";"732.2";"753.9";"94";"Wind blowing from the north-west";"5";"";"Light rain, mist";"";"Broken clouds (60-90%) 270 m, broken clouds (60-90%) 450 m, overcast (100%) 690 m";"3.2";"16.0";
"29.04.2021 13:51";"18.0";"732.0";"753.6";"94";"Wind blowing from the north-west";"7";"11";"Rain, mist";"";"Scattered clouds (40-50%) 210 m, broken clouds (60-90%) 360 m, overcast (100%) 750 m";"4.0";"17.0";
"29.04.2021 13:49";"18.0";"732.0";"753.6";"94";"Wind blowing from the north-west";"7";"11";"Rain, mist";"";"Scattered clouds (40-50%) 210 m, broken clouds (60-90%) 360 m, overcast (100%) 750 m";"4.0";"17.0";
"29.04.2021 13:02";"19.0";"732.1";"753.6";"94";"Wind blowing from the west-southwest";"10";"13";"Heavy rain, mist";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 720 m, overcast (100%) 1800 m";"1.6";"18.0";
"29.04.2021 12:54";"19.0";"732.1";"753.6";"94";"Wind blowing from the west-southwest";"9";"13";"Rain, mist";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 720 m, overcast (100%) 1800 m";"2.8";"18.0";
"29.04.2021 12:51";"19.0";"731.9";"753.4";"94";"Wind blowing from the west-southwest";"10";"13";"Rain, mist";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 1140 m, overcast (100%) 1800 m";"3.2";"18.0";
"29.04.2021 12:32";"19.0";"732.1";"753.6";"94";"Wind blowing from the west-southwest";"8";"13";"Light rain, mist";"";"Broken clouds (60-90%) 360 m, broken clouds (60-90%) 930 m, overcast (100%) 1650 m";"9.6";"18.0";
"29.04.2021 12:14";"19.0";"732.4";"753.9";"94";"Wind blowing from the west-southwest";"12";"16";"Heavy rain, mist";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 420 m, overcast (100%) 660 m";"2.4";"18.0";
"29.04.2021 11:51";"20.0";"732.1";"753.6";"88";"Wind blowing from the south-west";"10";"15";"Rain, mist";"";"Broken clouds (60-90%) 540 m, overcast (100%) 750 m";"3.2";"18.0";
"29.04.2021 10:51";"21.0";"732.5";"753.9";"83";"Wind blowing from the south-west";"9";"14";"";"";"Broken clouds (60-90%) 480 m, broken clouds (60-90%) 690 m, overcast (100%) 1800 m";"12.8";"18.0";
"29.04.2021 10:44";"21.0";"732.5";"753.9";"83";"Wind blowing from the south-west";"8";"14";"";"";"Broken clouds (60-90%) 480 m, broken clouds (60-90%) 690 m, overcast (100%) 1800 m";"12.8";"18.0";
"29.04.2021 10:06";"19.0";"732.4";"753.9";"94";"Wind blowing from the south-southwest";"8";"12";"";"";"Broken clouds (60-90%) 390 m, overcast (100%) 540 m";"12.8";"18.0";
"29.04.2021 09:51";"19.0";"732.4";"753.9";"94";"Wind blowing from the south-southwest";"7";"12";"Light rain";"";"Scattered clouds (40-50%) 360 m, broken clouds (60-90%) 480 m, overcast (100%) 690 m";"11.2";"18.0";
"29.04.2021 09:30";"19.0";"732.5";"754.1";"94";"Wind blowing from the south-southwest";"7";"9";"Heavy rain";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m, overcast (100%) 690 m";"11.2";"18.0";
"29.04.2021 08:51";"19.0";"732.5";"754.1";"94";"Wind blowing from the south";"6";"";"Rain, mist";"";"Few clouds (10-30%) 150 m, broken clouds (60-90%) 300 m, overcast (100%) 480 m";"9.6";"18.0";
"29.04.2021 08:36";"18.0";"732.8";"754.4";"100";"Wind blowing from the south";"4";"";"Light rain, mist";"";"Few clouds (10-30%) 150 m, broken clouds (60-90%) 300 m, overcast (100%) 480 m";"9.6";"18.0";
"29.04.2021 07:51";"18.0";"733.4";"755.1";"100";"Wind blowing from the south";"6";"";"Rain, mist";"";"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 330 m, overcast (100%) 840 m";"4.0";"18.0";
"29.04.2021 07:21";"18.0";"734.0";"755.7";"100";"Wind blowing from the south-southwest";"5";"";"Rain, mist";"";"Broken clouds (60-90%) 210 m, overcast (100%) 300 m";"4.0";"18.0";
"29.04.2021 06:51";"19.0";"734.1";"755.7";"94";"Wind blowing from the south";"5";"";"Light rain, mist";"";"Overcast (100%) 240 m";"6.4";"18.0";
"29.04.2021 05:51";"19.0";"734.3";"755.9";"94";"Wind blowing from the south";"5";"";"Light rain, mist";"";"Broken clouds (60-90%) 240 m, broken clouds (60-90%) 330 m, overcast (100%) 1950 m";"9.6";"18.0";
"29.04.2021 04:51";"19.0";"734.3";"755.9";"94";"Wind blowing from the south";"4";"";"Light rain";"";"Overcast (100%) 270 m";"12.8";"18.0";
"29.04.2021 04:35";"18.0";"734.5";"756.2";"100";"Wind blowing from the south-west";"5";"";"Light rain, mist";"";"Broken clouds (60-90%) 180 m, broken clouds (60-90%) 330 m, overcast (100%) 480 m";"9.6";"18.0";
"29.04.2021 03:51";"18.0";"735.0";"756.7";"100";"Wind blowing from the south";"3";"";"Rain, mist";"";"Broken clouds (60-90%) 150 m, overcast (100%) 330 m";"4.0";"18.0";
"29.04.2021 03:34";"18.0";"735.5";"757.2";"100";"Wind blowing from the south";"3";"";"Rain, mist";"";"Overcast (100%) 150 m";"4.0";"18.0";
"29.04.2021 02:51";"18.0";"735.7";"757.4";"100";"Wind blowing from the south";"3";"";"Mist";"";"Overcast (100%) 180 m";"8.0";"18.0";
"29.04.2021 02:07";"18.0";"736.0";"757.7";"100";"Wind blowing from the south";"3";"";"Mist";"";"Overcast (100%) 240 m";"8.0";"18.0";
"29.04.2021 01:51";"18.0";"736.2";"757.9";"100";"Wind blowing from the south";"3";"";"Mist";"";"Scattered clouds (40-50%) 300 m, overcast (100%) 2100 m";"9.6";"18.0";
"29.04.2021 00:51";"18.0";"736.7";"758.4";"94";"Wind blowing from the south";"2";"";"Light rain, mist";"";"Broken clouds (60-90%) 2400 m, overcast (100%) 2850 m";"9.6";"17.0";
"28.04.2021 23:51";"18.0";"737.4";"759.2";"94";"Wind blowing from the south-southwest";"2";"";"";"";"Scattered clouds (40-50%) 390 m, overcast (100%) 2850 m";"16.0";"17.0";
"28.04.2021 22:51";"19.0";"737.3";"759.0";"88";"Wind blowing from the south";"2";"";"Light rain";"";"Overcast (100%) 2850 m";"16.0";"17.0";
"28.04.2021 21:51";"19.0";"738.3";"760.0";"94";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 2100 m, overcast (100%) 3300 m";"16.0";"18.0";
"28.04.2021 20:51";"19.0";"737.8";"759.5";"94";"Calm, no wind";"0";"";"";"";"Overcast (100%) 2700 m";"16.0";"18.0";
"28.04.2021 19:51";"19.0";"737.8";"759.5";"94";"Calm, no wind";"0";"";"Light rain";"";"Few clouds (10-30%) 900 m, overcast (100%) 3000 m";"16.0";"18.0";
"28.04.2021 18:51";"21.0";"737.9";"759.5";"83";"Wind blowing from the west";"4";"";"Light rain";"";"Scattered clouds (40-50%) 1020 m, overcast (100%) 3300 m";"16.0";"18.0";
"28.04.2021 17:51";"24.0";"737.9";"759.2";"69";"Wind blowing from the west";"5";"";"Light rain";"";"Few clouds (10-30%) 1800 m, broken clouds (60-90%) 3000 m, overcast (100%) 4500 m";"16.0";"18.0";
"28.04.2021 16:51";"25.0";"737.7";"759.0";"61";"Wind blowing from the west-southwest";"7";"10";"Light rain";"";"Scattered clouds (40-50%) 1140 m, broken clouds (60-90%) 1650 m, overcast (100%) 6000 m";"16.0";"17.0";
"28.04.2021 15:51";"26.0";"737.2";"758.4";"61";"Wind blowing from the west";"4";"";"";"";"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 4200 m, overcast (100%) 6000 m";"16.0";"18.0";
"28.04.2021 15:07";"26.0";"737.8";"759.0";"65";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 1140 m, overcast (100%) 4500 m";"16.0";"19.0";
"28.04.2021 14:51";"26.0";"737.8";"759.0";"65";"Wind blowing from the west-northwest";"5";"";"Thunderstorm";"";"Broken clouds (60-90%) 1170 m, cumulonimbus clouds , broken clouds (60-90%) 4500 m";"16.0";"19.0";
"28.04.2021 14:32";"24.0";"737.9";"759.2";"74";"Wind blowing from the west-northwest";"7";"";"Light thunderstorm, rain";"";"Broken clouds (60-90%) 1170 m, cumulonimbus clouds , overcast (100%) 4500 m";"16.0";"19.0";
"28.04.2021 13:51";"26.0";"738.3";"759.5";"58";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 1110 m, broken clouds (60-90%) 2100 m";"16.0";"17.0";
"28.04.2021 12:51";"24.0";"738.2";"759.5";"65";"Wind blowing from the south-west";"4";"";"";"";"Scattered clouds (40-50%) 1650 m, broken clouds (60-90%) 7500 m";"16.0";"17.0";
