YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,2,4,4/1/2021 12:00:00 AM,9E,N146PQ,5011,CMH,MSP,1245,1241,0.00,0.00,,100.00,626.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N146PQ,5011,MSP,CMH,0830,0826,0.00,0.00,,83.00,626.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N299PQ,4858,CLE,DTW,1737,1732,0.00,0.00,,26.00,95.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N299PQ,4858,DTW,CLE,1555,1554,0.00,0.00,,27.00,95.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N307PQ,4979,ATL,DAY,1544,1544,0.00,0.00,,65.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N307PQ,4979,DAY,ATL,1807,1803,0.00,0.00,,67.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N310PQ,5240,DAY,ATL,1420,1417,0.00,0.00,,69.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N310PQ,5279,ATL,DAY,1200,1153,0.00,0.00,,68.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N330PQ,5141,DAY,ATL,0700,0656,0.00,0.00,,72.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N335PQ,5315,ATL,DAY,2003,2000,0.00,0.00,,70.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N538CA,5125,DAY,ATL,1159,1154,0.00,0.00,,70.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N538CA,5446,ATL,DAY,0940,0941,1.00,0.00,,65.00,432.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N835AY,5208,DAY,DTW,1722,1717,0.00,0.00,,36.00,166.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N835AY,5208,DTW,DAY,1535,1532,0.00,0.00,,37.00,166.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N8877A,4820,DAY,DTW,1030,1025,0.00,0.00,,34.00,166.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N8877A,4820,DTW,DAY,0835,0850,15.00,0.00,,38.00,166.00,
2021,2,4,4/1/2021 12:00:00 AM,9E,N8928A,4653,CLE,DTW,1035,1150,75.00,0.00,,24.00,95.00,75.00
2021,2,4,4/1/2021 12:00:00 AM,9E,N8928A,4653,DTW,CLE,0855,0851,0.00,0.00,,22.00,95.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N103US,2306,CMH,CLT,0600,0557,0.00,0.00,,57.00,347.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N655AW,2635,CMH,PHX,1058,1054,0.00,0.00,,236.00,1670.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N717UW,2675,DFW,CMH,1835,1834,0.00,0.00,,124.00,926.00,
2021,2,4,4/1/2021 12:00:00 AM,AA,N738US,1606,CMH,DFW,0730,0726,0.00,0.00,,141.00,926.00,
