YEAR,QUARTER,MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,WEATHER_DELAY
2021,1,2,2/1/2021 12:00:00 AM,9E,N134EV,4892,CMH,MSP,1630,1626,0.00,0.00,,97.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N134EV,4892,MSP,CMH,1245,1238,0.00,0.00,,86.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N136EV,4921,CMH,MSP,0800,0752,0.00,0.00,,91.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N181PQ,4979,ATL,DAY,1530,1523,0.00,0.00,,68.00,432.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N181PQ,4979,DAY,ATL,1802,1758,0.00,0.00,,77.00,432.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N184GJ,5141,DAY,ATL,0700,0717,17.00,0.00,,73.00,432.00,0.00
2021,1,2,2/1/2021 12:00:00 AM,9E,N296PQ,5024,CMH,MSP,1245,1240,0.00,0.00,,92.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N296PQ,5024,MSP,CMH,0830,0827,0.00,0.00,,85.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N305PQ,5240,DAY,ATL,1304,1303,0.00,0.00,,71.00,432.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N305PQ,5279,ATL,DAY,1037,1032,0.00,0.00,,69.00,432.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N331CA,4933,LGA,CLE,1020,,,1.00,B,,419.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N331CA,4943,CLE,LGA,1310,,,1.00,B,,419.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N695CA,5272,ATL,DAY,1910,1905,0.00,0.00,,67.00,432.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N8688C,4820,DAY,DTW,1155,1150,0.00,0.00,,35.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N8688C,4820,DTW,DAY,1000,0957,0.00,0.00,,39.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N8688C,4853,DAY,DTW,1650,1645,0.00,0.00,,34.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N8688C,4853,DTW,DAY,1415,1411,0.00,0.00,,38.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N8836A,4800,DAY,DTW,0600,0553,0.00,0.00,,35.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N924XJ,4948,MSP,CMH,2020,2016,0.00,0.00,,95.00,626.00,
2021,1,2,2/1/2021 12:00:00 AM,9E,N980EV,4868,DTW,DAY,2120,2115,0.00,0.00,,36.00,166.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N121UW,705,CMH,CLT,0630,0629,0.00,0.00,,61.00,347.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N127UW,2092,CLT,CMH,2010,2007,0.00,0.00,,60.00,347.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N662AW,2479,PHX,CMH,1429,1422,0.00,0.00,,197.00,1670.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N704US,1801,CLE,DFW,0720,0710,0.00,0.00,,147.00,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N710UW,2635,CMH,PHX,1110,1101,0.00,0.00,,260.00,1670.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N711UW,1607,DFW,CLE,2005,2000,0.00,0.00,,138.00,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N714US,54,DFW,CLE,1445,1446,1.00,0.00,,136.00,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N730US,2463,CLE,DFW,1115,1124,9.00,0.00,,144.00,1021.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N806NN,1711,CLE,MIA,0600,0550,0.00,0.00,,146.00,1080.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N824NN,2284,DFW,CMH,2005,1959,0.00,0.00,,129.00,926.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N838NN,1751,MIA,CLE,2105,2101,0.00,0.00,,144.00,1080.00,
2021,1,2,2/1/2021 12:00:00 AM,AA,N838NN,2252,CLE,CLT,0630,0621,0.00,0.00,,73.00,430.00,
