year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,1,1/1/2021 12:00:00 AM,9E,N166PQ,5272,ATL,DAY,1802,1803,1.00,0.00,,75.00,432.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N298PQ,5141,DAY,ATL,0600,0615,15.00,0.00,,87.00,432.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,9E,N317CA,4735,CMH,MSP,1300,1256,0.00,0.00,,92.00,626.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N317CA,4735,MSP,CMH,0845,0846,1.00,0.00,,90.00,626.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N340CA,4986,MSP,CLE,0855,1016,81.00,0.00,,84.00,622.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,9E,N340CA,5065,CLE,MSP,1315,1343,28.00,0.00,,91.00,622.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,9E,N398CA,4921,CMH,MSP,0830,0821,0.00,0.00,,93.00,626.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N604LR,5240,DAY,ATL,1255,1410,75.00,0.00,,86.00,432.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,9E,N604LR,5279,ATL,DAY,1037,1042,5.00,0.00,,58.00,432.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N607LR,4800,DAY,DTW,0645,0645,0.00,0.00,,33.00,166.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N695CA,4827,MSP,CMH,1515,1511,0.00,0.00,,81.00,626.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N8986B,4820,DAY,DTW,1155,1150,0.00,0.00,,31.00,166.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N8986B,4820,DTW,DAY,1010,1005,0.00,0.00,,44.00,166.00,
2021,1,1,1/1/2021 12:00:00 AM,9E,N921XJ,4868,DTW,DAY,2125,2122,0.00,0.00,,41.00,166.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N122US,1872,CMH,CLT,0647,0636,0.00,0.00,,60.00,347.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N126UW,1876,CLT,CMH,1635,1629,0.00,0.00,,56.00,347.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N305NX,2467,DFW,CMH,1640,1636,0.00,0.00,,101.00,926.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N660AW,1212,PHX,CMH,1043,1034,0.00,0.00,,193.00,1670.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N662AW,2635,CMH,PHX,1101,1058,0.00,0.00,,223.00,1670.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N716UW,54,DFW,CLE,1450,1450,0.00,0.00,,115.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N738US,2463,CLE,DFW,1109,1108,0.00,0.00,,167.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N809NN,1093,CLE,DFW,1550,1544,0.00,0.00,,172.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N809NN,1093,DFW,CLE,1105,1107,2.00,0.00,,114.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N842NN,1801,CLE,DFW,0705,0659,0.00,0.00,,165.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N867NN,1094,CMH,DFW,1615,1717,62.00,0.00,,155.00,926.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AA,N867NN,1094,DFW,CMH,1100,1335,155.00,0.00,,102.00,926.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AA,N886NN,239,CLT,CLE,1659,1649,0.00,0.00,,59.00,430.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N892NN,1171,CMH,DFW,1128,1125,0.00,0.00,,157.00,926.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AA,N921NN,2252,CLE,CLT,0611,0601,0.00,0.00,,75.00,430.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N939NN,1607,DFW,CLE,1854,1856,2.00,0.00,,114.00,1021.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N963NN,2675,DFW,CMH,1835,1831,0.00,0.00,,107.00,926.00,
2021,1,1,1/1/2021 12:00:00 AM,AA,N978NN,1606,CMH,DFW,0723,0729,6.00,0.00,,158.00,926.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,AS,N839VA,1193,CMH,SEA,1835,1821,0.00,0.00,,270.00,2016.00,
2021,1,1,1/1/2021 12:00:00 AM,AS,N839VA,992,SEA,CMH,1010,1006,0.00,0.00,,239.00,2016.00,
2021,1,1,1/1/2021 12:00:00 AM,B6,N216JB,1440,CLE,BOS,1641,1650,9.00,0.00,,69.00,563.00,
2021,1,1,1/1/2021 12:00:00 AM,B6,N216JB,1641,BOS,CLE,1355,1414,19.00,0.00,,111.00,563.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,B6,N527JL,2935,RSW,CLE,2006,1959,0.00,0.00,,136.00,1025.00,
2021,1,1,1/1/2021 12:00:00 AM,B6,N645JB,658,FLL,CLE,2053,2053,0.00,0.00,,136.00,1062.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N329NB,1459,ATL,CLE,0858,0852,0.00,0.00,,70.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N329NB,1459,CLE,ATL,1143,1139,0.00,0.00,,99.00,554.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,DL,N330NB,1444,CLE,ATL,0600,0556,0.00,0.00,,91.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N343NB,1458,ATL,CLE,1820,2023,123.00,0.00,,74.00,554.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,DL,N346NB,1745,CLE,ATL,0800,0755,0.00,0.00,,90.00,554.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,DL,N365NB,1436,ATL,CLE,2058,2053,0.00,0.00,,72.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N3744F,2121,ATL,CMH,2030,2028,0.00,0.00,,59.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N3751B,2310,ATL,CMH,1856,1852,0.00,0.00,,63.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N376NW,2218,CLE,ATL,0700,0658,0.00,0.00,,95.00,554.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N399DA,2280,CMH,ATL,0700,0658,0.00,0.00,,80.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N942AT,1583,CMH,ATL,0600,0555,0.00,0.00,,74.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N944AT,1540,ATL,CMH,1257,1252,0.00,0.00,,66.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N944AT,1540,CMH,ATL,1523,1521,0.00,0.00,,82.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N964AT,1518,ATL,CMH,0819,0815,0.00,0.00,,68.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,DL,N964AT,1518,CMH,ATL,1050,1042,0.00,0.00,,79.00,447.00,0.00
2021,1,1,1/1/2021 12:00:00 AM,DL,N998AT,1504,ATL,CMH,1549,1544,0.00,0.00,,66.00,447.00,
2021,1,1,1/1/2021 12:00:00 AM,F9,N308FR,1046,MCO,CLE,1035,1033,0.00,0.00,,108.00,895.00,
