year,quarter,month,flight_date,reporting_airline,tail_number,flight_number,origin,dest,crs_dep_time,dep_time,dep_delay_minutes,cancelled,cancelletion_code,air_time,distance,weather_delay
2021,1,3,3/1/2021 12:00:00 AM,9E,N134EV,5024,CMH,MSP,1245,1240,0.00,0.00,,104.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N134EV,5024,MSP,CMH,0830,0825,0.00,0.00,,79.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N294PQ,4948,MSP,CMH,2020,2015,0.00,0.00,,78.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N306PQ,5240,DAY,ATL,1304,1259,0.00,0.00,,73.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N306PQ,5279,ATL,DAY,1037,1035,0.00,0.00,,69.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N314PQ,4892,CMH,MSP,1630,1627,0.00,0.00,,107.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N314PQ,4892,MSP,CMH,1245,1244,0.00,0.00,,78.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N349PQ,5272,ATL,DAY,1910,1909,0.00,0.00,,66.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N376CA,4933,LGA,CLE,1020,1013,0.00,0.00,,80.00,419.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N376CA,4943,CLE,LGA,1310,1306,0.00,0.00,,64.00,419.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N601LR,4979,ATL,DAY,1530,1525,0.00,0.00,,76.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N601LR,4979,DAY,ATL,1802,1757,0.00,0.00,,79.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8694A,4800,DAY,DTW,0600,0555,0.00,0.00,,37.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8694A,4820,DAY,DTW,1155,1150,0.00,0.00,,41.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8694A,4820,DTW,DAY,1000,0952,0.00,0.00,,30.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8969A,4868,DTW,DAY,2120,2115,0.00,0.00,,31.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8974C,4853,DAY,DTW,1650,1645,0.00,0.00,,42.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N8974C,4853,DTW,DAY,1415,1410,0.00,0.00,,30.00,166.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N906XJ,5141,DAY,ATL,0700,0658,0.00,0.00,,89.00,432.00,
2021,1,3,3/1/2021 12:00:00 AM,9E,N914XJ,4921,CMH,MSP,0800,0847,47.00,0.00,,98.00,626.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N103US,705,CMH,CLT,0630,0623,0.00,0.00,,67.00,347.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N105UW,2092,CLT,CMH,2010,2009,0.00,0.00,,58.00,347.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N647AW,2479,PHX,CMH,1429,1427,0.00,0.00,,204.00,1670.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N647AW,2635,CMH,PHX,1053,1049,0.00,0.00,,226.00,1670.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N703UW,1607,DFW,CLE,2005,2002,0.00,0.00,,122.00,1021.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N704US,2463,CLE,DFW,1110,,,1.00,B,,1021.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N717UW,1801,CLE,DFW,0720,0932,132.00,0.00,,183.00,1021.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,AA,N745VJ,54,DFW,CLE,1450,1521,31.00,0.00,,125.00,1021.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,AA,N857NN,1711,CLE,MIA,0600,0552,0.00,0.00,,150.00,1080.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N876NN,2252,CLE,CLT,0610,0604,0.00,0.00,,80.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N912NN,239,CLT,CLE,1830,1830,0.00,0.00,,69.00,430.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N919NN,1751,MIA,CLE,2105,2129,24.00,0.00,,150.00,1080.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,AA,N940NN,2284,DFW,CMH,2005,2002,0.00,0.00,,107.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N951NN,1094,DFW,CMH,1100,1056,0.00,0.00,,105.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N951NN,282,CMH,DFW,1705,1656,0.00,0.00,,160.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,AA,N986NN,1606,CMH,DFW,0735,0730,0.00,0.00,,173.00,926.00,
2021,1,3,3/1/2021 12:00:00 AM,AS,N471AS,1193,CMH,SEA,0815,0805,0.00,0.00,,291.00,2016.00,
2021,1,3,3/1/2021 12:00:00 AM,B6,N587JB,657,CLE,FLL,0600,0555,0.00,0.00,,148.00,1062.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N309US,2255,ATL,CLE,2205,2200,0.00,0.00,,77.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N311DN,1745,CLE,ATL,0804,0800,0.00,0.00,,93.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N327DN,1459,ATL,CLE,0820,0819,0.00,0.00,,72.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N327DN,1459,CLE,ATL,1130,1118,0.00,0.00,,91.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N339NW,1434,ATL,CLE,1221,1220,0.00,0.00,,78.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N339NW,1434,CLE,ATL,1516,1514,0.00,0.00,,88.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N348DN,1445,CLE,ATL,1855,2056,121.00,0.00,,82.00,554.00,0.00
2021,1,3,3/1/2021 12:00:00 AM,DL,N348DN,1458,ATL,CLE,1820,1815,0.00,0.00,,80.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N364DX,2218,CLE,ATL,0700,0656,0.00,0.00,,98.00,554.00,
2021,1,3,3/1/2021 12:00:00 AM,DL,N369NW,1445,ATL,CLE,1559,1600,1.00,0.00,,78.00,554.00,
